	22.0
aquilin	1.0
araignes	2.0
arbalte	5.0
arbitre	1.0
arbitrer	3.0
arbitres	1.0
arboraient	1.0
arbre	7.0
arbres	6.0
arcade	1.0
arche	1.0
ardeurs	1.0
argent	13.0
argente	8.0
argentes	2.0
argents	1.0
argenttouillage	1.0
argus	1.0
ariennes	1.0
arm	3.0
arme	1.0
armoires	1.0
armure	3.0
armures	4.0
arpentait	1.0
arrach	2.0
arracha	6.0
arrachant	2.0
arrache	1.0
arracher	4.0
arrachs	1.0
arrang	2.0
arranger	2.0
arrangetoi	1.0
arrire	7.0
arriv	17.0
arriva	9.0
arrivaient	3.0
arrivait	3.0
arrive	11.0
arriver	18.0
arriverait	1.0
arriverez	1.0
arriverons	2.0
arrives	1.0
arrivrent	8.0
arrivs	7.0
arrondie	1.0
arrt	4.0
arrta	5.0
arrte	4.0
arrter	2.0
arrtez	2.0
arsenius	1.0
article	2.0
articula	1.0
as	47.0
aspects	1.0
asperg	1.0
aspir	1.0
asseoir	2.0
asseyezvous	1.0
assez	15.0
assiette	6.0
assiettes	3.0
assimil	1.0
assirez	1.0
assis	27.0
assise	3.0
assises	1.0
assist	2.0
assistant	1.0
assistante	1.0
assister	3.0
assit	1.0
assombri	1.0
assomm	4.0
assourdissant	4.0
assourdissante	1.0
assur	4.0
assura	16.0
assuratil	1.0
assure	2.0
assurer	1.0
astiqueur	1.0
atil	3.0
atmosphre	1.0
atroce	1.0
attachcase	1.0
attache	2.0
attacher	1.0
attaches	1.0
attachiez	1.0
attaque	1.0
attaquer	1.0
attaques	1.0
attaqus	1.0
atteigne	1.0
atteignent	1.0
atteignirent	3.0
atteindre	1.0
atteint	3.0
attend	2.0
attendaient	2.0
attendait	12.0
attendant	8.0
attendent	1.0
attendez	3.0
attendezmoi	3.0
attendions	1.0
attendirent	1.0
attendit	3.0
attendons	2.0
attendre	9.0
attends	4.0
attendu	3.0
attention	25.0
attentivement	5.0
atterri	1.0
atterrir	3.0
atterrit	7.0
attira	2.0
attire	1.0
attirer	2.0
attnu	1.0
attrap	6.0
attrapa	4.0
attrapait	1.0
attrape	4.0
attrapele	3.0
attraper	10.0
attrapeur	4.0
attrapeurs	3.0
attributions	1.0
au	377.0
auburn	1.0
aucun	23.0
aucune	30.0
audehors	6.0
audel	3.0
audessous	4.0
audessus	32.0
augirolle	1.0
augmenta	1.0
aujourdhui	13.0
auparavant	4.0
auprs	7.0
auquel	5.0
aura	13.0
aurai	3.0
auraient	6.0
auraientils	1.0
aurais	6.0
aurait	70.0
auraitil	3.0
auras	3.0
aurez	6.0
auriez	3.0
aurons	1.0
auront	1.0
aussi	104.0
aussitt	62.0
austre	1.0
autant	24.0
auteur	2.0
automatique	2.0
autoris	3.0
autorisation	1.0
autorise	1.0
autorises	1.0
autoritaire	1.0
autour	49.0
autre	54.0
autrefois	1.0
autrement	3.0
autres	85.0
aux	107.0
auxquelles	4.0
avaient	102.0
avaientils	2.0
avais	16.0
avait	502.0
avaitelle	4.0
avaitil	11.0
avala	6.0
avanaient	1.0
avanait	4.0
avance	1.0
avancer	1.0
avancrent	3.0
avancs	1.0
avant	92.0
avantage	2.0
avantager	2.0
avantageux	1.0
avaris	1.0
avec	339.0
avenir	2.0
aventur	1.0
aventure	6.0
averses	1.0
averti	1.0
avertir	3.0
avertissement	1.0
aveugl	2.0
aveuglant	1.0
avez	49.0
avezvous	5.0
avide	3.0
avidement	3.0
avidit	1.0
aviez	2.0
avion	2.0
avis	8.0
avoir	74.0
avons	20.0
avoua	1.0
award	3.0
ayant	2.0
ayons	2.0
b	2.0
babas	1.0
bacon	5.0
badin	1.0
bagages	1.0
baguette	61.0
baguettes	11.0
bah	1.0
bahis	2.0
baign	2.0
bain	2.0
bains	2.0
baiser	2.0
baisers	1.0
baissa	5.0
baisse	1.0
baisser	3.0
baissez	1.0
baissrent	2.0
balader	1.0
balai	66.0
balais	23.0
balana	1.0
balanait	2.0
balance	2.0
balancer	1.0
balances	1.0
balayait	1.0
balbutia	5.0
balbutiaient	1.0
balbutiatelle	1.0
balbutiatil	2.0
balbutier	1.0
balcon	1.0
baldaquin	2.0
balivernes	2.0
balle	10.0
balles	9.0
ballon	5.0
ballongommes	1.0
ballons	1.0
bam	1.0
bambin	1.0
bananes	1.0
banc	5.0
bande	6.0
bandes	1.0
bandoulire	1.0
bane	12.0
banlieue	1.0
bannire	3.0
banque	3.0
banques	1.0
banquet	7.0
banquets	1.0
banquette	3.0
banquier	1.0
baptise	1.0
bar	3.0
barbe	10.0
barbu	1.0
barils	1.0
barman	4.0
baron	11.0
barque	7.0
barques	4.0
barrait	2.0
barres	1.0
barrire	6.0
barrrent	1.0
baruffio	1.0
bas	14.0
bascula	1.0
base	1.0
baseball	1.0
basketball	2.0
basse	6.0
basses	1.0
bassine	3.0
bataille	2.0
batailles	1.0
bateau	5.0
bateaux	1.0
bathilda	1.0
battaient	2.0
battant	4.0
batte	2.0
battes	1.0
batteur	1.0
batteurs	3.0
battit	1.0
battre	8.0
battu	1.0
battus	1.0
baume	1.0
bavait	1.0
bavantes	1.0
bavardages	1.0
bavardaient	1.0
bavardait	1.0
bavards	1.0
baveur	8.0
bb	9.0
bbs	1.0
bche	1.0
bches	1.0
be	12.0
beau	11.0
beaucoup	64.0
beaulitron	1.0
beaut	2.0
beaux	2.0
bec	5.0
becs	1.0
beignet	1.0
beignets	1.0
bel	7.0
bell	2.0
belle	11.0
bellfrappe	1.0
ben	3.0
berceuse	1.0
bertie	4.0
besoin	30.0
bestiole	3.0
bestioles	1.0
bestsellers	1.0
betterave	1.0
beurk	2.0
beurre	1.0
bgaiement	2.0
bgayait	1.0
bgayant	1.0
bibine	11.0
bibliothcaire	1.0
bibliothque	29.0
bien	285.0
bientt	24.0
bienveillant	1.0
bienvenu	1.0
bienvenue	5.0
bifurcation	1.0
bifurqu	1.0
bill	5.0
billa	1.0
billant	1.0
bille	1.0
billement	1.0
biller	1.0
billet	5.0
billets	1.0
billonn	1.0
binns	3.0
biscuit	1.0
biscuits	4.0
bises	1.0
bison	1.0
bizarre	12.0
bizarreries	1.0
bizarres	6.0
black	1.0
blackpool	1.0
blague	2.0
blaireau	1.0
blaise	1.0
blanc	8.0
blanche	6.0
blanches	11.0
blancheur	2.0
blancs	2.0
bless	4.0
blesse	6.0
blesser	1.0
blesss	1.0
blessure	3.0
bleu	4.0
bleue	2.0
bleues	3.0
bleus	2.0
blond	3.0
blonde	1.0
